insured_name,cedent_name,country,currency,exposure,total_ceded_by_cedent,ceded_to_reinsurer,retained_by_cedant,policy_inception_date,policy_expiry_date,exclusion_status,exclusion_reason
AIR CHINA,SCOR,UK,GBP,20980060.1,15463465.1,14778614.2,5516595.0,2024-02-08,2026-02-07,included,
AMERICAN AIRLINES,AXA,UK,GBP,33566302.5,8966506.7,8574405.0,24599795.7,2024-04-19,2026-04-19,included,
JETBLUE AIRWAYS,HANNOVER RE,France,EUR,98573163.0,4869323.0,4721066.0,93703840.0,2024-05-05,2026-05-05,included,
CHINA SOUTHERN,CHUBB,USA,USD,25945930.5,15585651.3,15192916.6,10360279.2,2024-08-23,2025-08-23,included,
LUFTHANSA GROUP,GENERALI,France,EUR,68516175.8,33795790.6,32516137.8,34720385.1,2024-07-30,2026-07-30,included,
FRONTIER AIRLINES,GENERALI,Italy,EUR,54828998.5,47306017.3,44967262.3,7522981.2,2024-11-09,2026-11-09,included,
BRITISH AIRWAYS,GENERALI,France,EUR,65864032.9,47949628.7,45673201.3,17914404.1,2024-10-22,2025-10-22,included,
EMIRATES AIRLINES,BERKSHIRE HATHAWAY,Switzerland,CHF,74364004.8,58851185.7,56841116.6,15512819.1,2024-02-21,2026-02-20,included,
FRONTIER AIRLINES,SCOR,Germany,EUR,17929820.0,5661881.8,5430725.1,12267938.2,2024-09-05,2026-09-05,excluded,Pandemic Exclusion
EASYJET,BERKSHIRE HATHAWAY,Germany,EUR,39303859.5,19013990.0,18557038.8,20289869.5,2024-04-23,2026-04-23,excluded,Cyber Risk Exclusion
CHINA EASTERN,MUNICH RE,USA,USD,18627509.3,15704394.5,15068736.5,2923114.8,2024-07-03,2026-07-03,included,
QATAR AIRWAYS,HANNOVER RE,UK,GBP,43082068.9,28699380.6,28035405.0,14382688.3,2024-11-17,2025-11-17,excluded,War Risk Exclusion
MALAYSIA AIRLINES,ALLIANZ,USA,USD,14456244.9,11693406.1,11212850.4,2762838.8,2024-06-11,2026-06-11,included,
THAI AIRWAYS,SWISS RE,Germany,EUR,14003835.1,10169980.0,9949911.8,3833855.1,2024-04-03,2025-04-03,included,
SOUTHWEST AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,69746078.1,58720143.8,57239116.5,11025934.4,2024-03-22,2025-03-22,included,
VIRGIN ATLANTIC,HANNOVER RE,France,EUR,14137443.8,3136438.4,3075074.0,11001005.4,2024-10-30,2026-10-30,included,
AMERICAN AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,67752706.9,3918625.2,3843185.2,63834081.8,2024-02-10,2026-02-09,included,
VIRGIN ATLANTIC,BERKSHIRE HATHAWAY,Switzerland,CHF,64171021.1,11006334.1,10555186.2,53164687.0,2024-07-07,2025-07-07,excluded,Nuclear Risk Exclusion
ALASKA AIRLINES,GENERALI,Italy,EUR,74363550.2,26363310.7,25836103.7,48000239.5,2024-07-13,2025-07-13,included,
AIR FRANCE-KLM,SCOR,France,EUR,54244613.1,3312271.2,3162703.0,50932341.8,2024-08-01,2026-08-01,included,
UNITED AIRLINES,SCOR,USA,USD,74412358.8,63981012.6,61036244.8,10431346.2,2024-06-19,2026-06-19,excluded,War Risk Exclusion
VIRGIN ATLANTIC,MUNICH RE,USA,USD,81014185.2,11235958.8,10761953.6,69778226.4,2024-12-30,2025-12-30,excluded,Cyber Risk Exclusion
ETIHAD AIRWAYS,BERKSHIRE HATHAWAY,UK,GBP,47686016.1,34371167.0,33495270.9,13314849.1,2024-10-06,2025-10-06,excluded,Cyber Risk Exclusion
THAI AIRWAYS,ALLIANZ,Switzerland,CHF,38376237.6,28523408.1,27766173.0,9852829.5,2024-02-26,2026-02-25,included,
JETBLUE AIRWAYS,AXA,USA,USD,39442307.6,2594312.5,2566113.0,36847995.1,2024-11-14,2025-11-14,excluded,Pandemic Exclusion
KOREAN AIR,SCOR,France,EUR,76204400.8,38601579.2,37221257.1,37602821.7,2024-01-21,2026-01-20,included,
CHINA SOUTHERN,SWISS RE,Germany,EUR,92423691.3,49401224.3,48116117.8,43022467.1,2024-03-13,2026-03-13,included,
ALASKA AIRLINES,SCOR,UK,GBP,79725404.7,58328362.4,55417087.1,21397042.2,2024-04-06,2025-04-06,included,
SINGAPORE AIRLINES,SCOR,USA,USD,16242995.2,9719012.1,9609905.7,6523983.1,2024-07-03,2025-07-03,included,
SAUDI ARABIAN AIRLINES,ALLIANZ,Switzerland,CHF,99073576.5,57182732.7,56595254.1,41890843.8,2024-03-07,2025-03-07,included,
UNITED AIRLINES,AXA,France,EUR,57519415.9,47103742.9,46329265.6,10415673.1,2024-04-12,2025-04-12,included,
AMERICAN AIRLINES,ALLIANZ,USA,USD,44094529.9,27533510.6,26890318.0,16561019.3,2024-11-15,2025-11-15,included,
CATHAY PACIFIC,SWISS RE,USA,USD,68627937.0,3084462.4,3037825.5,65543474.6,2024-11-30,2025-11-30,excluded,Nuclear Risk Exclusion
ANA (ALL NIPPON AIRWAYS),ZURICH,Switzerland,CHF,88398924.0,44136356.0,43409993.4,44262568.1,2024-08-26,2026-08-26,included,
DELTA AIR LINES,AXA,USA,USD,68618619.4,60396170.5,57694540.4,8222449.0,2024-05-09,2025-05-09,excluded,Cyber Risk Exclusion
EASYJET,SCOR,UK,GBP,32887461.2,5994512.8,5908017.2,26892948.4,2024-10-12,2026-10-12,excluded,War Risk Exclusion
AIR CANADA,MUNICH RE,USA,USD,18436457.0,10371940.7,10132759.9,8064516.2,2024-10-08,2026-10-08,included,
LUFTHANSA GROUP,SWISS RE,Switzerland,CHF,92383159.7,71595262.9,68448074.0,20787896.8,2024-07-20,2025-07-20,included,
SINGAPORE AIRLINES,CHUBB,Singapore,SGD,94013927.2,18152327.5,17359798.8,75861599.7,2024-10-24,2026-10-24,included,
AIR FRANCE-KLM,ZURICH,UK,GBP,38921089.5,29439109.4,28056937.7,9481980.1,2024-02-26,2026-02-25,excluded,Nuclear Risk Exclusion
JAPAN AIRLINES,ZURICH,Switzerland,CHF,55571720.1,48164357.3,46065476.2,7407362.8,2024-01-07,2026-01-06,included,
AMERICAN AIRLINES,CHUBB,Switzerland,CHF,55302388.6,16517941.9,16310898.2,38784446.7,2024-08-10,2025-08-10,included,
QATAR AIRWAYS,HANNOVER RE,Germany,EUR,84789046.2,15485478.2,15052989.7,69303568.0,2024-03-09,2026-03-09,included,
FRONTIER AIRLINES,GENERALI,France,EUR,65224071.2,37373673.6,36841024.9,27850397.7,2024-02-20,2025-02-19,included,
ALASKA AIRLINES,MUNICH RE,USA,USD,52983125.0,22933020.7,22010208.0,30050104.3,2024-01-18,2026-01-17,excluded,War Risk Exclusion
MALAYSIA AIRLINES,CHUBB,UK,GBP,69579876.9,35527897.4,34315429.3,34051979.5,2024-07-28,2026-07-28,included,
AIR CANADA,ZURICH,Germany,EUR,50771281.4,38224228.9,36544868.9,12547052.5,2024-05-30,2025-05-30,excluded,Terrorism Exclusion
TURKISH AIRLINES,ALLIANZ,Switzerland,CHF,14513606.3,4533829.0,4407827.6,9979777.3,2024-02-18,2025-02-17,included,
FRONTIER AIRLINES,HANNOVER RE,Germany,EUR,22308197.5,4206255.3,4105338.4,18101942.2,2024-12-04,2026-12-04,excluded,Terrorism Exclusion
JAPAN AIRLINES,MUNICH RE,Germany,EUR,63642019.0,3397993.3,3297776.0,60244025.7,2024-06-09,2026-06-09,included,
AIR CHINA,ZURICH,USA,USD,69382720.7,40812115.4,39423937.6,28570605.3,2024-10-30,2025-10-30,included,
JAPAN AIRLINES,SCOR,Germany,EUR,74380405.5,46464259.3,45032737.0,27916146.2,2024-07-19,2025-07-19,included,
CHINA SOUTHERN,SCOR,UK,GBP,66618105.1,51715750.3,49599886.6,14902354.9,2024-02-28,2025-02-27,excluded,Cyber Risk Exclusion
AIR FRANCE-KLM,CHUBB,Switzerland,CHF,95694352.0,1884332.9,1800134.7,93810019.1,2024-11-27,2025-11-27,included,
EMIRATES AIRLINES,ALLIANZ,USA,USD,86960182.6,24952823.7,24522979.2,62007358.9,2024-08-29,2026-08-29,included,
VIRGIN ATLANTIC,HANNOVER RE,UK,GBP,83983438.7,57182904.0,55156849.9,26800534.7,2024-05-04,2025-05-04,included,
LUFTHANSA GROUP,SCOR,France,EUR,26740885.8,11902581.3,11752528.5,14838304.6,2024-05-29,2025-05-29,excluded,Nuclear Risk Exclusion
FRONTIER AIRLINES,MUNICH RE,Singapore,SGD,81254778.2,15430342.5,14756504.1,65824435.6,2024-01-31,2025-01-30,included,
EASYJET,MUNICH RE,Germany,EUR,96525020.7,54530545.7,53667523.9,41994475.1,2024-08-31,2025-08-31,included,
AIR CANADA,GENERALI,Austria,EUR,70343611.8,2476937.6,2443795.3,67866674.3,2024-05-31,2025-05-31,included,
THAI AIRWAYS,ZURICH,USA,USD,86337816.5,66138804.2,63711490.3,20199012.3,2024-02-03,2026-02-02,included,
TURKISH AIRLINES,GENERALI,France,EUR,68838879.0,14961524.7,14261399.3,53877354.3,2024-09-30,2025-09-30,included,
SOUTHWEST AIRLINES,GENERALI,Germany,EUR,57667549.4,19479356.6,19080413.8,38188192.8,2024-10-27,2026-10-27,included,
ETIHAD AIRWAYS,SWISS RE,USA,USD,67501002.8,7943564.8,7831810.3,59557438.0,2024-03-11,2026-03-11,included,
DELTA AIR LINES,SWISS RE,Switzerland,CHF,26098016.0,9814148.0,9574066.5,16283868.1,2024-09-30,2025-09-30,included,
SPIRIT AIRLINES,HANNOVER RE,France,EUR,73359069.9,48329623.9,47118920.3,25029446.0,2024-05-10,2026-05-10,included,
ANA (ALL NIPPON AIRWAYS),ZURICH,UK,GBP,21083612.2,6761394.0,6508563.6,14322218.2,2024-12-26,2025-12-26,excluded,Terrorism Exclusion
RYANAIR,MUNICH RE,USA,USD,11375585.9,6435446.4,6280312.6,4940139.4,2024-01-07,2026-01-06,included,
SPIRIT AIRLINES,BERKSHIRE HATHAWAY,USA,USD,70064618.9,21975202.0,21039457.1,48089416.9,2024-06-22,2026-06-22,included,
AMERICAN AIRLINES,SCOR,Germany,EUR,34616378.9,28867444.7,27884893.3,5748934.2,2024-08-09,2026-08-09,excluded,Cyber Risk Exclusion
CHINA SOUTHERN,GENERALI,Germany,EUR,86613379.5,7214312.1,6958349.3,79399067.4,2024-10-22,2025-10-22,included,
ALASKA AIRLINES,CHUBB,UK,GBP,47836632.0,29632085.6,28560249.7,18204546.4,2024-11-20,2025-11-20,included,
QATAR AIRWAYS,CHUBB,UK,GBP,32479998.4,14685037.4,14488603.8,17794961.0,2024-05-25,2025-05-25,included,
SPIRIT AIRLINES,HANNOVER RE,Germany,EUR,62620715.0,28165851.5,27359340.9,34454863.5,2024-12-22,2026-12-22,included,
CHINA EASTERN,ZURICH,Germany,EUR,88806681.4,77312660.5,76459494.5,11494020.9,2024-06-20,2025-06-20,included,
BRITISH AIRWAYS,ALLIANZ,Austria,EUR,13606883.6,5980211.3,5695413.5,7626672.3,2024-12-14,2026-12-14,included,
SAUDI ARABIAN AIRLINES,SWISS RE,USA,USD,91546801.7,60921371.3,58390479.4,30625430.5,2024-07-29,2026-07-29,included,
BRITISH AIRWAYS,GENERALI,Italy,EUR,82913496.6,47385996.0,46356593.1,35527500.6,2024-10-02,2026-10-02,included,
EASYJET,BERKSHIRE HATHAWAY,UK,GBP,26887184.2,17250226.8,16800403.0,9636957.3,2024-12-26,2025-12-26,excluded,War Risk Exclusion
CHINA SOUTHERN,AXA,Germany,EUR,98614421.6,24822050.7,24326276.5,73792370.9,2024-06-24,2025-06-24,included,
SPIRIT AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,67200206.8,13672663.2,13084062.9,53527543.6,2024-07-01,2025-07-01,excluded,Terrorism Exclusion
JAPAN AIRLINES,AXA,UK,GBP,73859532.2,55912517.9,53852977.6,17947014.3,2024-04-01,2026-04-01,included,
EASYJET,HANNOVER RE,UK,GBP,40511591.3,8700993.0,8609707.7,31810598.3,2024-06-30,2025-06-30,included,
AIR CANADA,SCOR,USA,USD,10866640.0,2282685.6,2240356.8,8583954.5,2024-01-23,2026-01-22,included,
ALASKA AIRLINES,BERKSHIRE HATHAWAY,Germany,EUR,29548455.0,16061490.7,15899882.4,13486964.3,2024-12-05,2025-12-05,included,
DELTA AIR LINES,SCOR,Germany,EUR,35778489.7,23161350.1,22088516.5,12617139.6,2024-01-10,2026-01-09,included,
AIR CANADA,MUNICH RE,UK,GBP,53033849.1,14798782.5,14299506.8,38235066.6,2024-08-24,2026-08-24,included,
SAUDI ARABIAN AIRLINES,MUNICH RE,USA,USD,98786233.6,36778040.3,35088373.1,62008193.3,2024-07-12,2026-07-12,included,
JETBLUE AIRWAYS,ALLIANZ,Switzerland,CHF,50337548.1,24389207.5,23816344.9,25948340.7,2024-02-07,2025-02-06,included,
QATAR AIRWAYS,MUNICH RE,USA,USD,17631117.4,60166.6,58832.2,17570950.8,2024-09-11,2026-09-11,excluded,Terrorism Exclusion
AMERICAN AIRLINES,SWISS RE,UK,GBP,73151848.5,15387266.6,14944073.7,57764581.9,2024-10-26,2025-10-26,included,
CATHAY PACIFIC,HANNOVER RE,USA,USD,96860798.6,27171672.7,25914720.6,69689125.9,2024-12-24,2025-12-24,included,
CHINA EASTERN,CHUBB,Singapore,SGD,41283687.7,7460419.3,7165724.8,33823268.5,2024-04-02,2026-04-02,excluded,Cyber Risk Exclusion
EASYJET,GENERALI,Germany,EUR,70530569.2,37662852.1,36400088.5,32867717.2,2024-12-12,2026-12-12,included,
SINGAPORE AIRLINES,SWISS RE,UK,GBP,63016087.6,11069776.1,10897823.0,51946311.5,2024-09-11,2026-09-11,excluded,Nuclear Risk Exclusion
EASYJET,MUNICH RE,Germany,EUR,23398346.7,16297123.5,15965149.3,7101223.3,2024-04-21,2025-04-21,included,
ETIHAD AIRWAYS,BERKSHIRE HATHAWAY,Germany,EUR,90347153.5,59216344.4,57157504.8,31130809.1,2024-08-22,2026-08-22,excluded,Terrorism Exclusion
SINGAPORE AIRLINES,HANNOVER RE,Germany,EUR,56576099.6,3161568.3,3048152.2,53414531.3,2024-06-10,2025-06-10,excluded,Cyber Risk Exclusion
CHINA SOUTHERN,GENERALI,Austria,EUR,81085724.8,41026944.9,40529274.4,40058779.9,2024-08-29,2026-08-29,included,
EMIRATES AIRLINES,SWISS RE,UK,GBP,21407942.0,3178704.8,3086267.8,18229237.2,2024-06-23,2026-06-23,included,
SINGAPORE AIRLINES,MUNICH RE,Singapore,SGD,59557497.8,15094901.7,14667352.5,44462596.1,2024-05-31,2025-05-31,included,
AMERICAN AIRLINES,CHUBB,USA,USD,31296292.3,1274606.5,1248797.0,30021685.7,2024-10-20,2026-10-20,included,
CATHAY PACIFIC,SCOR,France,EUR,91780683.9,11412956.0,11063866.8,80367727.9,2024-02-20,2025-02-19,excluded,Cyber Risk Exclusion
TURKISH AIRLINES,ALLIANZ,USA,USD,63868498.3,52400575.5,49930419.6,11467922.8,2024-06-28,2026-06-28,excluded,Pandemic Exclusion
VIRGIN ATLANTIC,ALLIANZ,Switzerland,CHF,22597508.1,14408450.5,13953176.7,8189057.6,2024-10-06,2025-10-06,excluded,Cyber Risk Exclusion
EMIRATES AIRLINES,SCOR,France,EUR,11760096.2,214237.2,211646.1,11545859.1,2024-07-28,2025-07-28,included,
VIRGIN ATLANTIC,AXA,Germany,EUR,38225805.5,31998098.0,31638279.2,6227707.5,2024-03-10,2026-03-10,included,
JETBLUE AIRWAYS,GENERALI,Italy,EUR,69167767.8,42793021.5,42062298.7,26374746.3,2024-10-25,2025-10-25,included,
UNITED AIRLINES,SWISS RE,UK,GBP,19103454.9,12767148.7,12282844.6,6336306.2,2024-07-10,2025-07-10,included,
RYANAIR,GENERALI,Italy,EUR,44188930.2,9156810.7,8832359.2,35032119.5,2024-04-25,2025-04-25,included,
JETBLUE AIRWAYS,MUNICH RE,USA,USD,22393562.0,632207.6,602610.2,21761354.4,2024-06-16,2026-06-16,included,
ANA (ALL NIPPON AIRWAYS),BERKSHIRE HATHAWAY,USA,USD,68628429.6,442203.3,424133.9,68186226.3,2024-06-21,2025-06-21,included,
KOREAN AIR,CHUBB,Singapore,SGD,54529077.6,12786241.9,12372608.0,41742835.7,2024-05-10,2025-05-10,included,
ETIHAD AIRWAYS,HANNOVER RE,UK,GBP,48775137.0,31081288.3,30469139.4,17693848.7,2024-02-28,2025-02-27,excluded,Pandemic Exclusion
CHINA SOUTHERN,SWISS RE,Switzerland,CHF,80720208.5,52017825.2,49487027.6,28702383.2,2024-02-14,2026-02-13,included,
SPIRIT AIRLINES,ZURICH,USA,USD,12490019.9,1405185.2,1360601.4,11084834.8,2024-12-17,2026-12-17,excluded,War Risk Exclusion
MALAYSIA AIRLINES,ZURICH,USA,USD,32693073.5,23626459.2,22726442.7,9066614.3,2024-01-21,2025-01-20,included,
BRITISH AIRWAYS,CHUBB,USA,USD,18623641.2,277203.7,273692.0,18346437.4,2024-12-19,2026-12-19,excluded,Pandemic Exclusion
JAPAN AIRLINES,HANNOVER RE,France,EUR,50595876.7,35138427.3,34148671.6,15457449.4,2024-02-02,2026-02-01,included,
LUFTHANSA GROUP,ZURICH,Germany,EUR,87457433.4,75297388.0,74421091.6,12160045.4,2024-04-24,2026-04-24,included,
AIR CANADA,AXA,UK,GBP,98240420.1,85398218.7,81646864.8,12842201.4,2024-06-20,2025-06-20,included,
AMERICAN AIRLINES,SCOR,UK,GBP,49715975.8,9888679.8,9561225.6,39827296.0,2024-08-17,2026-08-17,included,
SPIRIT AIRLINES,BERKSHIRE HATHAWAY,UK,GBP,21029681.5,10388578.3,10202687.7,10641103.3,2024-05-23,2025-05-23,included,
MALAYSIA AIRLINES,MUNICH RE,Germany,EUR,65073941.5,47001338.6,45276797.4,18072602.9,2024-11-01,2025-11-01,included,
THAI AIRWAYS,HANNOVER RE,Germany,EUR,68524894.6,51591436.1,50319658.0,16933458.5,2024-04-23,2026-04-23,excluded,Pandemic Exclusion
TURKISH AIRLINES,SCOR,Germany,EUR,39471226.0,22326919.1,22028331.8,17144306.9,2024-12-06,2025-12-06,excluded,Pandemic Exclusion
TURKISH AIRLINES,SWISS RE,USA,USD,11245884.5,4378840.8,4182725.5,6867043.7,2024-06-02,2026-06-02,included,
ANA (ALL NIPPON AIRWAYS),CHUBB,UK,GBP,46199928.9,34306552.2,32964897.1,11893376.6,2024-12-01,2026-12-01,included,
MALAYSIA AIRLINES,MUNICH RE,Germany,EUR,32816297.1,26205155.8,24907773.4,6611141.3,2024-03-14,2026-03-14,included,
EMIRATES AIRLINES,CHUBB,Singapore,SGD,71144252.6,45425819.6,43700253.0,25718433.0,2024-10-17,2026-10-17,excluded,War Risk Exclusion
AIR CHINA,HANNOVER RE,UK,GBP,46913630.0,25386674.4,24243227.3,21526955.6,2024-10-16,2025-10-16,included,
SPIRIT AIRLINES,CHUBB,Singapore,SGD,38311882.7,1592982.9,1539015.5,36718899.7,2024-02-06,2026-02-05,included,
AIR CHINA,SWISS RE,Switzerland,CHF,75808619.1,53565268.0,51901381.3,22243351.1,2024-04-17,2026-04-17,included,
JETBLUE AIRWAYS,ZURICH,Germany,EUR,81010103.6,15986990.3,15675976.3,65023113.3,2024-09-04,2025-09-04,included,
JETBLUE AIRWAYS,ZURICH,USA,USD,64172645.0,25757859.8,24668139.3,38414785.2,2024-01-03,2025-01-02,included,
DELTA AIR LINES,SWISS RE,USA,USD,95809545.5,9118510.2,8703601.8,86691035.4,2024-12-19,2026-12-19,included,
ETIHAD AIRWAYS,BERKSHIRE HATHAWAY,Germany,EUR,90083961.7,23468515.5,23066823.2,66615446.2,2024-08-15,2026-08-15,excluded,Pandemic Exclusion
RYANAIR,ZURICH,Germany,EUR,96468755.3,65718184.1,64736499.5,30750571.2,2024-01-14,2026-01-13,included,
ETIHAD AIRWAYS,ALLIANZ,Austria,EUR,30826823.0,22577926.7,22277395.7,8248896.3,2024-08-23,2025-08-23,excluded,Nuclear Risk Exclusion
VIRGIN ATLANTIC,ZURICH,UK,GBP,78054333.2,38104688.0,36483251.0,39949645.2,2024-04-17,2026-04-17,included,
DELTA AIR LINES,ZURICH,Switzerland,CHF,70654253.0,36426355.7,35659048.5,34227897.3,2024-04-06,2025-04-06,included,
EMIRATES AIRLINES,HANNOVER RE,USA,USD,41845265.7,26673697.8,25635204.6,15171567.9,2024-04-24,2025-04-24,included,
ANA (ALL NIPPON AIRWAYS),ALLIANZ,USA,USD,58200826.9,7492349.9,7202055.5,50708477.0,2024-06-13,2025-06-13,included,
CATHAY PACIFIC,HANNOVER RE,USA,USD,69051814.2,32841682.4,32151325.2,36210131.8,2024-03-08,2025-03-08,included,
FRONTIER AIRLINES,CHUBB,UK,GBP,18490936.8,13045406.7,12850535.0,5445530.1,2024-01-09,2025-01-08,included,
CHINA EASTERN,ALLIANZ,Germany,EUR,43701722.6,5157781.8,4976336.0,38543940.7,2024-12-25,2025-12-25,included,
CHINA EASTERN,HANNOVER RE,USA,USD,93460305.6,14146366.1,13650490.5,79313939.5,2024-08-16,2026-08-16,included,
LUFTHANSA GROUP,BERKSHIRE HATHAWAY,Germany,EUR,21537535.1,2625293.4,2541652.5,18912241.7,2024-11-05,2026-11-05,included,
CATHAY PACIFIC,GENERALI,France,EUR,27837076.0,9033755.6,8916574.4,18803320.4,2024-07-10,2026-07-10,included,
LUFTHANSA GROUP,SWISS RE,USA,USD,62300097.7,4465883.0,4374051.0,57834214.7,2024-06-30,2025-06-30,included,
AIR CANADA,GENERALI,France,EUR,98903841.6,28621468.4,28150140.3,70282373.2,2024-05-03,2026-05-03,included,
BRITISH AIRWAYS,AXA,France,EUR,36552353.0,8129079.4,7839724.2,28423273.6,2024-03-03,2026-03-03,included,
AIR CANADA,AXA,USA,USD,16550721.7,5037169.5,4873792.7,11513552.2,2024-02-24,2025-02-23,included,
EASYJET,MUNICH RE,Germany,EUR,86999249.4,60155366.1,58394075.0,26843883.3,2024-05-15,2025-05-15,included,
BRITISH AIRWAYS,CHUBB,Singapore,SGD,11129543.8,2569210.6,2481446.7,8560333.2,2024-12-06,2026-12-06,excluded,War Risk Exclusion
CATHAY PACIFIC,SCOR,USA,USD,52100502.1,37563717.8,35812995.4,14536784.3,2024-09-20,2026-09-20,included,
KOREAN AIR,ALLIANZ,Switzerland,CHF,39326776.8,19887821.1,19666209.3,19438955.7,2024-09-28,2025-09-28,excluded,Nuclear Risk Exclusion
DELTA AIR LINES,GENERALI,Germany,EUR,37126664.5,1566120.9,1498890.8,35560543.6,2024-01-13,2026-01-12,included,
QATAR AIRWAYS,BERKSHIRE HATHAWAY,UK,GBP,64798036.8,3881951.5,3764934.1,60916085.3,2024-09-03,2026-09-03,included,
FRONTIER AIRLINES,BERKSHIRE HATHAWAY,Switzerland,CHF,86242795.2,54402156.0,53684526.4,31840639.2,2024-06-27,2026-06-27,excluded,Cyber Risk Exclusion
DELTA AIR LINES,ZURICH,UK,GBP,91561516.8,69153056.8,66370222.9,22408460.0,2024-07-10,2026-07-10,included,
JAPAN AIRLINES,SCOR,UK,GBP,21182052.4,4392569.4,4190425.7,16789482.9,2024-05-14,2025-05-14,included,
KOREAN AIR,GENERALI,Italy,EUR,18764164.2,11307351.0,10947646.0,7456813.2,2024-08-03,2026-08-03,included,
BRITISH AIRWAYS,AXA,USA,USD,16164895.3,1533734.5,1472835.0,14631160.8,2024-01-11,2025-01-10,excluded,Nuclear Risk Exclusion
EASYJET,SWISS RE,USA,USD,56194766.5,21724437.9,21006606.8,34470328.6,2024-06-04,2025-06-04,included,
AIR CANADA,HANNOVER RE,UK,GBP,48004894.8,14874151.3,14324218.0,33130743.5,2024-02-04,2025-02-03,included,
AIR CANADA,CHUBB,Singapore,SGD,88785097.2,393508.1,381327.4,88391589.1,2024-06-02,2026-06-02,included,
EMIRATES AIRLINES,AXA,France,EUR,98799446.9,45141975.2,43776842.1,53657471.7,2024-06-05,2025-06-05,included,
KOREAN AIR,BERKSHIRE HATHAWAY,UK,GBP,74894473.9,21594500.8,20964055.8,53299973.1,2024-06-19,2025-06-19,included,
AMERICAN AIRLINES,SWISS RE,Switzerland,CHF,53236839.7,38375495.8,37799491.1,14861343.9,2024-07-31,2025-07-31,included,
AMERICAN AIRLINES,SWISS RE,Switzerland,CHF,61579551.4,34287665.2,33824749.3,27291886.2,2024-01-26,2026-01-25,included,
CHINA SOUTHERN,AXA,UK,GBP,39409233.8,22238392.1,21289410.2,17170841.8,2024-08-10,2025-08-10,included,
VIRGIN ATLANTIC,ALLIANZ,USA,USD,92292472.0,51584938.7,49541468.0,40707533.3,2024-08-30,2025-08-30,included,
SINGAPORE AIRLINES,SCOR,France,EUR,26320240.9,18484005.1,17740597.9,7836235.9,2024-11-02,2026-11-02,included,
ALASKA AIRLINES,MUNICH RE,USA,USD,95493584.1,77641553.0,76798334.5,17852031.1,2024-04-26,2026-04-26,included,
SINGAPORE AIRLINES,HANNOVER RE,France,EUR,89368122.9,57619713.2,55820135.6,31748409.7,2024-12-30,2025-12-30,included,
SINGAPORE AIRLINES,HANNOVER RE,France,EUR,21228188.5,15289636.4,15013404.0,5938552.2,2024-08-01,2026-08-01,excluded,Pandemic Exclusion
ETIHAD AIRWAYS,SCOR,France,EUR,83034944.3,66915247.2,63755532.4,16119697.1,2024-04-01,2026-04-01,excluded,War Risk Exclusion
FRONTIER AIRLINES,MUNICH RE,UK,GBP,94598931.1,50564957.3,48801526.5,44033973.8,2024-04-16,2025-04-16,included,
EASYJET,GENERALI,Germany,EUR,18182652.0,9780755.1,9467165.3,8401896.9,2024-05-31,2025-05-31,excluded,Cyber Risk Exclusion
AIR CANADA,SWISS RE,UK,GBP,53617261.7,3158345.8,3058944.8,50458915.9,2024-08-14,2026-08-14,included,
CHINA SOUTHERN,AXA,France,EUR,51338334.0,12427834.8,12280411.4,38910499.2,2024-09-20,2025-09-20,included,
ETIHAD AIRWAYS,SWISS RE,Germany,EUR,94759763.0,33439279.7,31854762.1,61320483.3,2024-06-25,2025-06-25,included,
SOUTHWEST AIRLINES,MUNICH RE,Singapore,SGD,69640392.9,56584661.1,55227197.9,13055731.8,2024-02-25,2025-02-24,included,
QATAR AIRWAYS,ALLIANZ,USA,USD,19104683.4,10611285.8,10367691.4,8493397.6,2024-12-23,2026-12-23,excluded,Terrorism Exclusion
QATAR AIRWAYS,GENERALI,Austria,EUR,62481691.5,55873371.4,53212318.6,6608320.1,2024-06-03,2026-06-03,included,
LUFTHANSA GROUP,GENERALI,Germany,EUR,91190363.9,53010322.5,52185614.2,38180041.4,2024-05-30,2026-05-30,included,
THAI AIRWAYS,HANNOVER RE,Germany,EUR,75278811.0,40790373.2,40212856.5,34488437.8,2024-09-05,2025-09-05,included,
DELTA AIR LINES,ALLIANZ,Germany,EUR,68315075.9,32553923.8,31928954.3,35761152.1,2024-01-18,2025-01-17,excluded,War Risk Exclusion
KOREAN AIR,ZURICH,UK,GBP,70096270.9,59491620.0,57833000.6,10604650.9,2024-05-09,2025-05-09,excluded,Nuclear Risk Exclusion
RYANAIR,HANNOVER RE,UK,GBP,73221980.4,9830885.9,9690138.4,63391094.5,2024-11-01,2026-11-01,included,
AIR CHINA,ALLIANZ,Austria,EUR,75042382.6,40176768.2,38675677.0,34865614.4,2024-09-16,2025-09-16,included,
EMIRATES AIRLINES,CHUBB,Singapore,SGD,96031861.8,6402332.8,6249052.8,89629529.0,2024-11-26,2026-11-26,excluded,Terrorism Exclusion
CHINA EASTERN,ZURICH,USA,USD,39045648.9,11645908.0,11499168.4,27399740.9,2024-06-12,2026-06-12,included,
SAUDI ARABIAN AIRLINES,BERKSHIRE HATHAWAY,UK,GBP,32730119.1,5935574.5,5644672.0,26794544.6,2024-11-01,2026-11-01,included,
